ordinal	packet	name	source	ref	fw_from	fw_to
127	none	sys_rwlock_wunlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
127	none	sys_rwlock_wunlock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_RWLOCK_WUNLOCK	none	none
128	none	sys_event_queue_create	cellgov	cellgov_ps3_abi::lv2::syscall::EVENT_QUEUE_CREATE	none	none
128	none	sys_event_queue_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
128	none	sys_event_queue_create	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_EVENT_QUEUE_CREATE	none	none
129	none	sys_event_queue_destroy	cellgov	cellgov_ps3_abi::lv2::syscall::EVENT_QUEUE_DESTROY	none	none
129	none	sys_event_queue_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
129	none	sys_event_queue_destroy	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_EVENT_QUEUE_DESTROY	none	none
130	none	sys_event_queue_receive	cellgov	cellgov_ps3_abi::lv2::syscall::EVENT_QUEUE_RECEIVE	none	none
130	none	sys_event_queue_receive	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
